dimension,nivel,cntry,pais,media,n
Grupo de edad,30-44,NO,Noruega,5.881923842705341,4524
Grupo de edad,45-59,NO,Noruega,5.818411930389124,4624
Grupo de edad,60-74,NO,Noruega,5.576932308176504,3100
Grupo de edad,75+,NO,Noruega,5.237991281771615,1176
Grupo de edad,15-29,PL,Polonia,5.82807004671395,4324
Grupo de edad,30-44,PL,Polonia,5.873461756378544,4013
Grupo de edad,45-59,PL,Polonia,5.821423640463711,4007
Grupo de edad,60-74,PL,Polonia,5.597804672708633,3046
Grupo de edad,75+,PL,Polonia,5.242690094928817,967
Grupo de edad,15-29,PT,Portugal,5.387565954759012,2660
Grupo de edad,30-44,PT,Portugal,5.169741733946862,3944
Grupo de edad,45-59,PT,Portugal,5.135840875052142,4008
Grupo de edad,60-74,PT,Portugal,5.012455051450259,4054
Grupo de edad,75+,PT,Portugal,4.807499989400097,1966
Grupo de edad,15-29,SE,Suecia,6.283493170250878,3543
Grupo de edad,30-44,SE,Suecia,6.456729831756175,4356
Grupo de edad,45-59,SE,Suecia,6.303503175013822,4442
Grupo de edad,60-74,SE,Suecia,6.156988258480729,4228
Grupo de edad,75+,SE,Suecia,5.711582251229851,1838
Grupo de edad,15-29,SI,Eslovenia,4.922584002783367,3013
Grupo de edad,30-44,SI,Eslovenia,4.853803899167658,3220
Grupo de edad,45-59,SI,Eslovenia,4.6954899484639965,3515
Grupo de edad,60-74,SI,Eslovenia,4.469287808066931,2734
Grupo de edad,75+,SI,Eslovenia,4.17288198503591,1068
Sexo,Hombre,BE,Bélgica,5.246926072768009,9218
Sexo,Mujer,BE,Bélgica,5.1087375606907814,9281
Sexo,Hombre,CH,Suiza,6.008290099455099,8535
Sexo,Mujer,CH,Suiza,5.855954906283629,8811
Sexo,Hombre,DE,Alemania,5.495871204025342,17638
Sexo,Mujer,DE,Alemania,5.4141599074789655,17160
Sexo,Hombre,ES,España,5.843326928755809,9703
Sexo,Mujer,ES,España,5.60814110275978,9794
Sexo,Hombre,FI,Finlandia,5.888747308981893,10105
Sexo,Mujer,FI,Finlandia,6.195538247572969,10489
Sexo,Hombre,FR,Francia,5.082338178585186,9457
Sexo,Mujer,FR,Francia,4.916785094735861,10697
Sexo,Hombre,HU,Hungría,4.169452238615441,7047
Sexo,Mujer,HU,Hungría,4.073427151399576,9084
Sexo,Hombre,IE,Irlanda,5.974685234078173,10740
Sexo,Mujer,IE,Irlanda,5.6319915784326575,12225
Sexo,Hombre,NL,Países Bajos,5.588820084711236,8882
Sexo,Mujer,NL,Países Bajos,5.546331316858066,10161
Sexo,Hombre,NO,Noruega,5.627969957755602,8978
Sexo,Mujer,NO,Noruega,5.769307819165362,8023
Sexo,Hombre,PL,Polonia,5.806282188895929,8067
Sexo,Mujer,PL,Polonia,5.717522933567906,8401
Sexo,Hombre,PT,Portugal,5.244550628959775,7135
Sexo,Mujer,PT,Portugal,5.056248389173021,9509
Sexo,Hombre,SE,Suecia,6.085130417732524,9311
Sexo,Mujer,SE,Suecia,6.434268897174775,9119
Sexo,Hombre,SI,Eslovenia,4.71416837145936,6429
Sexo,Mujer,SI,Eslovenia,4.690408618387717,7125
Habitat,Campo,BE,Bélgica,4.915152578372447,962
Habitat,Ciudad grande,BE,Bélgica,5.667780812194176,2455
Habitat,Ciudad pequeña,BE,Bélgica,5.141813725033662,4450
Habitat,Periferia de ciudad,BE,Bélgica,5.306046180790317,1916
Habitat,Pueblo,BE,Bélgica,5.0307070837459404,8710
Habitat,Campo,CH,Suiza,5.238751262820997,796
Habitat,Ciudad grande,CH,Suiza,6.538136369843818,1422
Habitat,Ciudad pequeña,CH,Suiza,6.212548062904353,4195
Habitat,Periferia de ciudad,CH,Suiza,6.1756666888979765,1777
Habitat,Pueblo,CH,Suiza,5.725163632845792,9152
Habitat,Campo,DE,Alemania,5.288400402457379,779
Habitat,Ciudad grande,DE,Alemania,5.919421251072723,6129
Habitat,Ciudad pequeña,DE,Alemania,5.367484648350217,12607
Habitat,Periferia de ciudad,DE,Alemania,5.606975110952271,4690
Habitat,Pueblo,DE,Alemania,5.240125440321218,10627
Habitat,Campo,ES,España,5.132974738738546,486
Habitat,Ciudad grande,ES,España,5.99849166671457,4096
Habitat,Ciudad pequeña,ES,España,5.862149894385545,5817
Habitat,Periferia de ciudad,ES,España,5.9383078791034904,1338
Habitat,Pueblo,ES,España,5.479944291501565,7709
Habitat,Campo,FI,Finlandia,5.667781557129375,3956
Habitat,Ciudad grande,FI,Finlandia,6.5328996239486345,3911
Habitat,Ciudad pequeña,FI,Finlandia,5.999884061553027,6214
Habitat,Periferia de ciudad,FI,Finlandia,6.296102703470037,2702
Habitat,Pueblo,FI,Finlandia,5.812428044653091,3797
Habitat,Campo,FR,Francia,4.54590947965415,1238
Habitat,Ciudad grande,FR,Francia,5.5899644693472075,3715
Habitat,Ciudad pequeña,FR,Francia,4.964230243136935,6671
Habitat,Periferia de ciudad,FR,Francia,5.39613667846445,2485
Habitat,Pueblo,FR,Francia,4.591441405027129,6037
Habitat,Campo,HU,Hungría,3.8748956771957053,150
Habitat,Ciudad grande,HU,Hungría,4.300165185184187,4186
Habitat,Ciudad pequeña,HU,Hungría,4.143041075413859,5393
Habitat,Periferia de ciudad,HU,Hungría,4.271649096187398,592
Habitat,Pueblo,HU,Hungría,3.915900703068287,5795
Habitat,Campo,IE,Irlanda,5.402709780493694,6642
Habitat,Ciudad grande,IE,Irlanda,6.502008925057853,1797
Habitat,Ciudad pequeña,IE,Irlanda,5.845993244918887,6050
Habitat,Periferia de ciudad,IE,Irlanda,6.080064912536082,5202
