var_1,var_2,rho
trstplt,trstprt,0.872
eduyrs,eisced,0.801
trstprl,trstplt,0.727
trstprl,trstprt,0.703
stflife,happy,0.696
stfdem,stfgov,0.641
trstprl,trstlgl,0.634
stfeco,stfgov,0.628
trstlgl,trstplc,0.619
trstplt,stfgov,0.603
