anio,cntry,actitud,conf_inst,pais
2002,BE,4.848906040838825,4.462199813237268,Bélgica
2002,CH,5.7704230410303925,5.6443231888914545,Suiza
2002,DE,5.356591343185644,4.5363374088711295,Alemania
2002,ES,5.382692608319642,4.14853547684231,España
2002,FI,5.967555135403839,5.7808016067924735,Finlandia
2002,FR,4.943142268213266,4.240193902095667,Francia
2002,HU,4.419148692765512,4.62097598357174,Hungría
2002,IE,5.33428331272532,4.4215991399977534,Irlanda
2002,NL,5.200762612761302,5.220156278595264,Países Bajos
2002,NO,5.3206073390779,5.483692265081224,Noruega
2002,PL,5.319509110500441,3.2816405953035295,Polonia
2002,PT,4.5981490717445554,3.8246835857971875,Portugal
2002,SE,6.332825898447769,5.622249600726412,Suecia
2002,SI,4.644945072154247,3.7536416566501187,Eslovenia
2004,BE,4.747249618673082,4.556161868426242,Bélgica
2004,CH,5.568957179119742,5.472112664525617,Suiza
2004,DE,4.924890947044309,4.306903097145383,Alemania
2004,ES,5.602695183134912,4.451637059273616,España
2004,FI,5.8391089573168315,5.93886035496558,Finlandia
2004,FR,4.705878626988677,4.156124122601849,Francia
2004,HU,4.359640129149413,3.507068315192912,Hungría
2004,IE,5.756169498939182,4.578497221864818,Irlanda
2004,NL,5.10555167965047,5.005146023755337,Países Bajos
2004,NO,5.16723905258097,5.2218896295683805,Noruega
2004,PL,5.490619096251927,2.407520306840478,Polonia
2004,PT,4.247435158336466,3.213575925158232,Portugal
2004,SE,6.073969894555767,5.146097130546726,Suecia
2004,SI,4.620085125061089,3.698590128442496,Eslovenia
2006,BE,5.003705446342817,4.698305975941509,Bélgica
2006,CH,5.728678479504576,5.6764433011828865,Suiza
2006,DE,4.956517969217551,4.3539708752027595,Alemania
2006,ES,5.533438826622727,4.52561919050538,España
2006,FI,6.030585677930316,6.004586790163239,Finlandia
2006,FR,4.775376260200748,4.124244150706572,Francia
2006,HU,4.137021170129028,3.3668576051349306,Hungría
2006,IE,5.94079057402232,4.55423668666295,Irlanda
2006,NL,5.457947416730363,5.428737549990626,Países Bajos
2006,NO,5.3475227961797,5.417958580269953,Noruega
2006,PL,6.036453783860661,2.825885216980692,Polonia
2006,PT,4.872591106047111,3.4858935096980055,Portugal
2006,SE,6.195057840098899,5.394880533582788,Suecia
2006,SI,4.646895105479121,3.858849364106315,Eslovenia
2008,BE,5.116099360173688,4.491604914238705,Bélgica
2008,CH,5.977823992844292,5.695472934690433,Suiza
2008,DE,5.423012835415425,4.614171090494193,Alemania
2008,ES,5.3351914003049625,4.260006198730651,España
2008,FI,6.09525863978084,5.979162247288534,Finlandia
2008,FR,4.960452285809443,4.324331943319419,Francia
2008,HU,4.109651355332508,2.6771191002308288,Hungría
2008,IE,5.414877605263788,4.0361513316041595,Irlanda
2008,NL,5.5798922177009285,5.606159917727421,Países Bajos
2008,NO,5.5132722228590065,5.596649979139352,Noruega
2008,PL,5.996185760272921,3.0307667478472924,Polonia
2008,PT,5.051509596181487,3.2291823430832265,Portugal
2008,SE,6.258833329672107,5.504978366020378,Suecia
2008,SI,4.646825698754004,4.004096208297459,Eslovenia
2010,BE,4.859247169381611,4.359852668203324,Bélgica
2010,CH,5.883978124600743,5.69029613512404,Suiza
2010,DE,5.311722787203834,4.411510633403677,Alemania
2010,ES,5.337763459951458,3.811330041496453,España
2010,FI,5.766544339750797,5.540620127525936,Finlandia
2010,FR,4.788616840431673,4.10177090382449,Francia
2010,HU,4.474273836210666,3.99666509920124,Hungría
2010,IE,4.980785779311135,3.9732569252929686,Irlanda
2010,NL,5.574974946920926,5.5460829654652075,Países Bajos
2010,NO,5.558816799346709,5.922346305203362,Noruega
2010,PL,5.904883586698829,3.413384729679058,Polonia
2010,PT,4.745573652120813,2.8385845339415594,Portugal
2010,SE,6.560579904662842,5.946340446905699,Suecia
2010,SI,4.483577042331124,2.7769827203930153,Eslovenia
2012,BE,4.980099811650208,4.697588371225757,Bélgica
2012,CH,5.875934103725634,5.970475774267922,Suiza
2012,DE,5.774226555534337,4.787734801242589,Alemania
2012,ES,5.65444217958885,2.9977543973609584,España
2012,FI,6.032070867990224,5.902972402817153,Finlandia
2012,FR,4.78050046479137,4.1202973872353414,Francia
2012,HU,4.6651950759697876,3.952257825484467,Hungría
2012,IE,5.341350703205642,3.955057880225708,Irlanda
2012,NL,5.648268950514977,5.516773440841342,Países Bajos
2012,NO,5.8224410018644805,6.145426781975146,Noruega
2012,PL,6.118507508053652,2.932523335489451,Polonia
2012,PT,4.395794055692001,2.607828974610399,Portugal
2012,SE,6.285874844696176,5.604710985970133,Suecia
2012,SI,4.915524200278254,2.802088953091277,Eslovenia
2014,BE,4.947782965438499,4.644795920310068,Bélgica
2014,CH,5.860512302107609,6.031596660315303,Suiza
2014,DE,5.7013105216829825,4.887537232174896,Alemania
2014,ES,5.476390063769662,3.3014618154185946,España
2014,FI,5.867160739799713,5.591200835717821,Finlandia
2014,FR,4.857698493109271,3.9729376442281867,Francia
2014,HU,4.118124750639327,3.822816651270901,Hungría
2014,IE,5.345621002519489,4.130343382735178,Irlanda
2014,NL,5.361457924729166,5.378970667887742,Países Bajos
2014,NO,5.5867525468352595,6.330399024590934,Noruega
2014,PL,5.536516508800171,2.778826254531374,Polonia
2014,PT,5.051489070471866,3.006062080517146,Portugal
2014,SE,6.539852412611546,5.845143771937496,Suecia
2014,SI,4.678669121546515,2.5734566424419243,Eslovenia
2016,BE,5.2775110315453935,4.685295665908155,Bélgica
2016,CH,5.8823567825594765,6.1145185387421055,Suiza
2016,DE,5.668363364626412,5.112332004132194,Alemania
2016,ES,5.8142547333269885,3.414679838311012,España
2016,FI,5.939924266617493,5.820516401614517,Finlandia
2016,FR,5.065627912282011,4.020575120621479,Francia
2016,HU,3.3651146680466772,4.531710511485369,Hungría
2016,IE,6.003914912335547,4.5925183247597765,Irlanda
2016,NL,5.596492359571216,5.6252352673023065,Países Bajos
2016,NO,5.648004838213198,6.433429557241854,Noruega
2016,PL,5.424476216488456,3.292689485687652,Polonia
2016,PT,5.685717142686459,3.4895955222909247,Portugal
2016,SE,6.289387782936615,5.626397374503425,Suecia
2016,SI,4.460178394931497,3.158046261725535,Eslovenia
2018,BE,5.516503234084106,4.7740305655541855,Bélgica
2018,CH,6.015257061359257,6.169708010718323,Suiza
2018,DE,5.711511239711746,4.964372572821354,Alemania
2018,ES,6.03074624981644,3.792924764893571,España
2018,FI,6.040462587929901,5.92908604071332,Finlandia
2018,FR,5.2413595976933145,4.271754848840336,Francia
2018,HU,3.855467220025052,4.723369386273483,Hungría
2018,IE,6.318171512751295,4.6782453028086,Irlanda
2018,NL,5.7765916393442955,5.923103814974899,Países Bajos
2018,NO,5.9577071813627,6.40702859987021,Noruega
2018,PL,5.723617938092408,3.7241201894694558,Polonia
2018,PT,6.154808904026504,3.6733204091186353,Portugal
2018,SE,6.415864273889301,5.846998148285177,Suecia
2018,SI,4.503930982279963,3.375213783559648,Eslovenia
2020,BE,5.814465661609926,4.7000348425858185,Bélgica
2020,CH,6.310144481212375,6.404158989077416,Suiza
2020,DE,5.540166172767272,4.862014435666064,Alemania
2020,ES,6.395068835385668,3.370793445377121,España
2020,FI,6.373866890321873,6.458580075334825,Finlandia
2020,FR,5.460300363055176,4.53695776535183,Francia
2020,HU,4.071628858868399,4.764746738977134,Hungría
2020,IE,6.762175154626887,4.93723821968305,Irlanda
2020,NL,6.055242815472095,5.833058634672146,Países Bajos
2020,NO,6.279366017782032,6.638806251165941,Noruega
2020,PL,6.19570801931831,2.5965844487090606,Polonia
2020,PT,6.1042300946427295,3.8178892511241855,Portugal
2020,SE,5.5773369057119115,5.149589278943026,Suecia
2020,SI,4.91735780944144,3.6222898291168564,Eslovenia
2023,BE,5.653264765769175,4.694776329856096,Bélgica
2023,CH,6.234451176204767,6.268501873610353,Suiza
2023,DE,5.532628476125459,4.861206694344116,Alemania
2023,ES,6.216224496125827,4.075851534004638,España
2023,FI,6.494566019624965,6.330515674341617,Finlandia
2023,FR,5.3237229509462844,4.285891675897945,Francia
2023,HU,3.7810421741570277,4.711113948612589,Hungría
2023,IE,6.276899463648915,4.974881705947248,Irlanda
2023,NL,5.7964102954011745,5.577744279669732,Países Bajos
2023,NO,6.194906690953385,6.380092498120811,Noruega
2023,PL,5.5329969892157544,3.605338387859666,Polonia
2023,PT,5.514823864045242,3.838329720137779,Portugal
2023,SE,6.358518142187724,5.8694469491916985,Suecia
2023,SI,5.182373046926464,4.049562005204966,Eslovenia
