cntry,pais,rho
SE,Suecia,0.9454545454545454
NO,Noruega,0.9090909090909091
IE,Irlanda,0.8818181818181817
NL,Países Bajos,0.8545454545454546
CH,Suiza,0.8454545454545456
DE,Alemania,0.8363636363636363
FI,Finlandia,0.7727272727272727
BE,Bélgica,0.7000000000000001
FR,Francia,0.5454545454545454
PT,Portugal,0.5454545454545454
SI,Eslovenia,0.3090909090909091
PL,Polonia,-0.2727272727272727
ES,España,-0.3727272727272727
HU,Hungría,-0.3909090909090909
