anio,minimo,p25,media_eu,p75,maximo,dt,amplitud
2002,4.419148692765512,4.8724650976824355,5.245681539083476,5.3761672920361425,6.332825898447769,0.536559074834367,1.9136772056822569
2004,4.247435158336466,4.716221374909778,5.157820724771631,5.59426068213112,6.073969894555767,0.5767386080862169,1.8265347362193012
2006,4.137021170129028,4.893572821839721,5.3330416037404245,5.8877625503928845,6.195057840098899,0.6189808949137527,2.058036669969871
2008,4.109651355332508,5.067657037179537,5.391349021454672,5.8783410490584505,6.258833329672107,0.5940027787635613,2.149181974339599
2010,4.474273836210666,4.806274422669158,5.302238447780225,5.718651991543329,6.560579904662842,0.6121313874780917,2.086306068452176
2012,4.395794055692001,4.931668103121242,5.449302165968256,5.862560828260346,6.285874844696176,0.6002899767316161,1.890080789004175
2014,4.118124750639327,4.973709491696841,5.3520956017186485,5.6726710279710515,6.539852412611546,0.5971470222604343,2.421727661972219
2016,3.3651146680466772,5.314252327781158,5.437237457583389,5.865331270251355,6.289387782936615,0.7461338009093743,2.9242731148899375
2018,3.855467220025052,5.5652552354910165,5.661571401597592,6.038033503401536,6.415864273889301,0.7101106645222164,2.5603970538642487
2020,4.071628858868399,5.549458856003431,5.8469327200154355,6.302449865354789,6.762175154626887,0.7006438847790518,2.6905462957584882
2023,3.7810421741570277,5.519275017065297,5.720916325095154,6.2298945061850315,6.494566019624965,0.7006766838448173,2.713523845467937
