variable,rho
idx_permisividad,0.595
stfdem,0.326
trstprl,0.32
ppltrst,0.304
trstlgl,0.302
eisced,0.287
eduyrs,0.285
trstep,0.285
trstplt,0.275
stfeco,0.274
trstprt,0.27
pplfair,0.256
stfgov,0.254
pplhlp,0.211
trstplc,0.201
happy,0.195
stflife,0.19
lrscale,-0.158
agea,-0.082
rlgdgr,-0.007
